Name,Team,Base Salary,Signing Bonus,Other Bonus,Total Salary,Cap Value,Percentage,Rating,Sqrt(rating)
"   Williams, D.J. ",Broncos ,"$850,000 ",$0 ,"$25,000 ","$875,000 ","$1,876,000 ",2.857142857,14.38,3.7921
"   Williams, Demorrio ",Chiefs ,"$1,000,000 ","$3,000,000 ","$3,720 ","$4,003,720 ","$1,603,720 ",0.09291359,11.06,3.3257
"   Williams, Jamar ",Bears ,"$445,000 ","$415,000 ","$4,560 ","$449,560 ","$553,310 ",1.014325118,2.12,1.4560
"   Williams, Leon ",Browns ,"$445,000 ","$450,000 ","$1,920 ","$446,920 ","$559,420 ",0.429607089,5.00,2.2361
"   Williams, Sam ",Raiders ,"$700,000 ","$250,000 ","$150,000 ","$850,000 ","$875,000 ",17.64705882,3.12,1.7664
"   Williams, Thomas ",Jaguars ,"$295,000 ","$174,500 ",$0 ,"$469,500 ","$338,625 ",0,0.31,0.5568
"   Willis, Patrick ",49ers ,"$370,000 ","$3,000,000 ","$1,956,000 ","$2,326,000 ","$4,081,000 ",84.09286328,27.88,5.2802
"   Winborn, Jamie ",Broncos ,"$800,000 ",$0 ,"$950,000 ","$1,750,000 ","$1,750,000 ",54.28571429,13.69,3.7000
"   Witherspoon, Will ",Rams ,"$4,000,000 ","$9,000,000 ","$3,120 ","$4,003,120 ","$5,803,120 ",0.077939207,11.88,3.4467
"   Woods, Pierre ",Patriots ,"$445,000 ",$0 ,"$4,680 ","$449,680 ","$449,680 ",1.040740082,4.12,2.0298
"   Woodyard, Wesley ",Broncos ,"$295,000 ","$20,000 ",$0 ,"$315,000 ","$301,666 ",0,8.50,2.9155
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
