Name,Team,Base Salary,Signing Bonus,Other Bonus,Total Salary,Cap Value,Percentage,Rating,Sqrt(rating)
"   Crowder, Channing ",Dolphins ,"$1,000,000 ","$766,500 ","$5,640 ","$1,005,640 ","$1,197,265 ",0.56083688,17.81,4.2202
"   Culberson, Quinton ",Rams ,"$370,000 ",$0 ,"$4,680 ","$374,680 ","$374,680 ",1.24906587,8.38,2.8948
"   Curry, Donte' ",Panthers ,"$730,000 ",$0 ,$0 ,"$730,000 ","$601,176 ",0,2.06,1.4353
"   Dacus, Weston ",Chiefs ,"$295,000 ",$0 ,$0 ,"$295,000 ","$242,941 ",0,0.88,0.9381
"   Daniels, Torrance 'Tank' ",Eagles ,"$445,000 ",$0 ,"$4,320 ","$449,320 ","$445,000 ",0.961452862,2.25,1.5000
"   Dansby, Karlos ",Cardinals ,"$8,065,000 ",$0 ,"$1,680 ","$8,066,680 ","$8,066,680 ",0.020826412,22.12,4.7032
"   Davis, Andra ",Browns ,"$1,675,000 ","$300,000 ","$1,225,000 ","$3,200,000 ","$3,600,000 ",38.28125,12.00,3.4641
"   Davis, Bruce ",Steelers ,"$295,000 ","$505,626 ",$0 ,"$800,626 ","$463,542 ",0,0.00,0.0000
"   Davis, James ",Colts ,"$295,000 ",$0 ,"$6,720 ","$301,720 ","$295,000 ",2.227230545,3.25,1.8028
"   Davis, Thomas ",Panthers ,"$650,000 ",$0 ,"$1,110,000 ","$1,760,000 ","$2,196,250 ",63.06818182,19.75,4.4441
"   DeOssie, Zak ",Giants ,"$370,000 ","$442,500 ","$3,960 ","$373,960 ","$484,585 ",1.058936785,1.75,1.3229
"   Diggs, Na'il ",Panthers ,"$800,000 ","$2,000,000 ","$150,000 ","$950,000 ","$1,400,000 ",15.78947368,8.19,2.8618
"   DiGiorgio, John ",Bills ,"$445,000 ","$10,000 ","$4,920 ","$449,920 ","$453,254 ",1.093527738,0.56,0.7483
"   Diles, Zach ",Texans ,"$370,000 ","$56,915 ","$6,720 ","$376,720 ","$390,948 ",1.78381822,8.69,2.9479
"   Dizon, Jordan ",Lions ,"$295,000 ","$1,533,333 ","$453,000 ","$2,281,333 ","$678,333 ",19.85681179,4.75,2.1794
"   Dobbins, Tim ",Chargers ,"$445,000 ","$168,000 ","$6,120 ","$451,120 ","$493,120 ",1.356623515,9.38,3.0627
"   Draft, Chris ",Rams ,"$830,000 ","$1,300,000 ","$100,000 ","$930,000 ","$1,363,333 ",10.75268817,6.06,2.4617
"   Dunbar, Jo-Lonn ",Saints ,"$295,000 ",$0 ,$0 ,"$295,000 ","$295,000 ",0,3.38,1.8385
"   Durant, Justin ",Jaguars ,"$370,000 ","$1,302,000 ","$423,720 ","$793,720 ","$700,780 ",53.38406491,11.81,3.4366
"   Edwards, Donnie ",Chiefs ,"$3,250,000 ","$2,000,000 ","$502,520 ","$3,752,520 ","$4,835,852 ",13.39153422,4.56,2.1354
"   Ekejiuba, Isaiah ",Raiders ,"$927,000 ",$0 ,"$5,880 ","$932,880 ","$932,880 ",0.630306149,2.62,1.6186
"   Ellison, Keith ",Bills ,"$445,000 ","$80,250 ","$5,280 ","$450,280 ","$477,030 ",1.172603713,10.44,3.2311
"   Evans, Troy ",Saints ,"$605,000 ","$100,000 ","$10,000 ","$615,000 ","$665,000 ",1.62601626,3.31,1.8193
"   Farrior, James ",Steelers ,"$1,800,000 ","$5,000,000 ","$2,400 ","$6,802,400 ","$4,061,150 ",0.035281665,17.06,4.1304
"   Fincher, Alfred ",Redskins ,"$520,000 ",$0 ,$0 ,"$520,000 ","$520,000 ",0,0.62,0.7874
"   Fletcher, London ",Redskins ,"$1,240,000 ","$10,500,000 ","$100,000 ","$1,340,000 ","$3,440,000 ",7.462686567,18.62,4.3151
"   Foote, Larry ",Steelers ,"$2,340,000 ","$1,590,000 ","$202,880 ","$2,542,880 ","$3,390,380 ",7.978355251,7.19,2.6814
"   Fowler, Ryan ",Titans ,"$1,750,000 ","$3,000,000 ","$6,600 ","$1,756,600 ","$2,506,600 ",0.375725834,3.69,1.9209
"   Fox, Keyaron ",Steelers ,"$605,000 ","$40,000 ","$4,800 ","$649,800 ","$489,800 ",0.738688827,4.19,2.0469
"   Frazier, Andre ",Steelers ,"$520,000 ","$40,000 ","$205,280 ","$765,280 ","$565,280 ",26.82416893,1.25,1.1180
"   Fujita, Scott ",Saints ,"$2,000,000 ","$4,000,000 ","$153,120 ","$2,153,120 ","$3,003,120 ",7.111540462,11.62,3.4088
"   Gaither, Omar ",Eagles ,"$445,000 ","$140,500 ","$4,440 ","$449,440 ","$484,565 ",0.987896048,12.62,3.5525
"   Gardner, Gilbert ",Lions ,"$605,000 ","$40,000 ","$4,320 ","$649,320 ","$489,320 ",0.665311403,0.00,0.0000
"   Gocong, Chris ",Eagles ,"$445,000 ","$775,000 ","$5,880 ","$450,880 ","$644,630 ",1.304116395,15.88,3.9850
"   Goff, Jonathan ",Giants ,"$295,000 ","$153,985 ",$0 ,"$448,985 ","$333,496 ",0,0.38,0.6164
"   Gooden, Tavares ",Ravens ,"$295,000 ","$610,100 ",$0 ,"$905,100 ","$498,366 ",0,0.69,0.8307
"   Green, Louis ",Broncos ,"$850,000 ","$300,000 ","$6,480 ","$856,480 ","$956,480 ",0.756585092,1.50,1.2247
"   Greenway, Chad ",Vikings ,"$675,000 ",$0 ,"$1,056,120 ","$1,731,120 ","$1,958,620 ",61.0079024,17.06,4.1304
"   Greenwood, Morlon ",Texans ,"$4,017,000 ",$0 ,"$200,000 ","$4,217,000 ","$5,517,000 ",4.742708086,5.88,2.4249
"   Greisen, Nick ",Ravens ,"$650,000 ","$1,000,000 ","$5,040 ","$1,655,040 ","$988,373 ",0.304524362,1.31,1.1446
"   Griffin, Kris ",Browns ,"$650,000 ",$0 ,"$104,800 ","$754,800 ","$704,800 ",13.88447271,1.19,1.0909
"   Guyton, Gary ",Patriots ,"$295,000 ","$12,000 ",$0 ,"$307,000 ","$301,000 ",0,6.44,2.5377
"   Haggans, Clark ",Cardinals ,"$1,000,000 ","$350,000 ","$3,480 ","$1,353,480 ","$1,353,480 ",0.257114992,4.19,2.0469
"   Hagler, Tyjuan ",Colts ,"$1,417,000 ",$0 ,"$6,720 ","$1,423,720 ","$1,423,720 ",0.472002922,3.69,1.9209
"   Harris, David ",Jets ,"$370,000 ","$1,400,000 ","$401,000 ","$771,000 ","$1,121,000 ",52.01037613,10.25,3.2016
"   Harris, Marques ",Chargers ,"$1,417,000 ",$0 ,"$5,040 ","$1,422,040 ","$1,422,040 ",0.35442041,5.81,2.4104
"   Harrison, James ",Steelers ,"$1,200,000 ","$1,375,000 ","$606,720 ","$1,806,720 ","$1,550,470 ",33.58129649,15.81,3.9762
"   Hawk, A.J. ",Packers ,"$1,950,000 ",$0 ,"$1,706,720 ","$3,656,720 ","$4,827,970 ",46.67352163,11.81,3.4366
"   Hawthorne, David ",Seahawks ,"$295,000 ","$3,000 ",$0 ,"$298,000 ","$296,500 ",0,2.12,1.4560
"   Hayes, Geno ",Buccaneers ,"$295,000 ","$105,000 ",$0 ,"$400,000 ","$321,250 ",0,1.88,1.3711
"   Hayes, Gerald ",Cardinals ,"$1,500,000 ",$0 ,"$3,120 ","$1,503,120 ","$1,503,120 ",0.207568258,15.31,3.9128
"   Hayward, Adam ",Buccaneers ,"$370,000 ","$102,000 ","$5,760 ","$375,760 ","$401,260 ",1.532893336,2.06,1.4353
"   Henderson, E.J. ",Vikings ,"$2,500,000 ","$4,000,000 ","$150,000 ","$2,650,000 ","$4,321,305 ",5.660377358,5.06,2.2494
"   Henderson, Erin ",Vikings ,"$295,000 ","$20,000 ",$0 ,"$315,000 ","$301,666 ",0,2.69,1.6401
"   Herring, Will ",Seahawks ,"$370,000 ","$163,100 ","$5,160 ","$375,160 ","$361,229 ",1.375413157,2.94,1.7146
"   Herron, David ",Vikings ,"$370,000 ",$0 ,"$6,240 ","$376,240 ","$376,240 ",1.658515841,2.38,1.5427
"   Highsmith, Ali ",Cardinals ,"$295,000 ","$13,000 ",$0 ,"$308,000 ","$301,500 ",0,0.62,0.7874
"   Hill, Leroy ",Seahawks ,"$927,000 ","$565,000 ","$4,680 ","$931,680 ","$1,072,930 ",0.502318393,12.56,3.5440
"   Hillenmeyer, Hunter ",Bears ,"$1,450,000 ",$0 ,"$50,000 ","$1,500,000 ","$1,500,000 ",3.333333333,2.62,1.6186
"   Hodge, Abdul ",Bengals ,"$370,000 ",$0 ,$0 ,"$370,000 ","$282,941 ",0,0.19,0.4359
"   Howard, Thomas ",Raiders ,"$445,000 ",$0 ,"$53,360 ","$498,360 ","$998,360 ",10.70711935,15.44,3.9294
"   Ingram, Clint ",Jaguars ,"$445,000 ","$715,000 ","$5,760 ","$450,760 ","$629,510 ",1.277841867,6.38,2.5259
"   Izzo, Larry ",Patriots ,"$830,000 ","$40,000 ","$5,160 ","$875,160 ","$490,160 ",0.589606472,1.88,1.3711
"   Jackson, D'Qwell ",Browns ,"$515,000 ",$0 ,"$230,000 ","$745,000 ","$1,105,000 ",30.87248322,19.31,4.3943
"   James, Bradie ",Cowboys ,"$1,750,000 ","$8,000,000 ","$6,120 ","$1,756,120 ","$3,356,120 ",0.348495547,19.00,4.3589
"   Jeanty, Rashad ",Bengals ,"$445,000 ",$0 ,"$5,040 ","$450,040 ","$450,040 ",1.119900453,13.12,3.6222
"   Johnson, Brandon ",Bengals ,"$445,000 ",$0 ,"$5,160 ","$450,160 ","$450,160 ",1.146259108,9.88,3.1432
"   Johnson, Derrick O'Hare (LB) ",Chiefs ,"$745,000 ",$0 ,"$504,800 ","$1,249,800 ","$2,214,800 ",40.39046247,13.81,3.7162
"   Johnson, Landon ",Panthers ,"$605,000 ","$3,000,000 ","$100,000 ","$3,705,000 ","$1,705,000 ",2.699055331,2.88,1.6971
"   Jones, Dhani ",Bengals ,"$1,100,000 ","$500,000 ","$1,050,000 ","$2,650,000 ","$1,866,666 ",39.62264151,16.81,4.1000
"   Jordan, Akeem ",Eagles ,"$370,000 ",$0 ,"$1,106,360 ","$1,476,360 ","$1,476,360 ",74.93836192,11.56,3.4000
"   June, Cato ",Buccaneers ,"$1,000,000 ","$2,000,000 ","$2,102,400 ","$3,102,400 ","$3,669,066 ",67.76689015,9.75,3.1225
"   Keglar, Stanford ",Titans ,"$295,000 ","$385,100 ",$0 ,"$680,100 ","$391,275 ",0,1.88,1.3711
"   Kehl, Bryan ",Giants ,"$295,000 ","$433,235 ",$0 ,"$728,235 ","$403,308 ",0,4.69,2.1656
"   Keiaho, Freddy ",Colts ,"$445,000 ","$424,000 ","$40,800 ","$485,800 ","$555,800 ",8.398517909,16.44,4.0546
"   Koutouvides, Niko ",Broncos ,"$605,000 ","$2,000,000 ","$605,880 ","$3,210,880 ","$1,277,546 ",18.86959338,1.75,1.3229
